Nodes,Time
4,0.00038
5,0.00028
6,0.0003
7,0.00032
8,0.00032
9,0.00031
10,0.00036
11,0.00034
12,0.00037
13,0.00037
14,0.00038
15,0.00039
16,0.00041
17,0.00051
18,0.00042
19,0.00049
20,0.00051
21,0.00066
22,0.00056
23,0.00067
24,0.00073
25,0.00077
26,0.00067
27,0.00097
28,0.00075
29,0.00064
30,0.00067
31,0.0011
32,0.00068
33,0.001
34,0.00082
35,0.00071
36,0.00097
37,0.00088
38,0.0013
39,0.0014
40,0.00085
41,0.0013
42,0.00089
43,0.001
44,0.0012
45,0.0013
46,0.0012
47,0.0015
48,0.0018
49,0.0018
50,0.0021
51,0.0016
52,0.0012
53,0.0019
54,0.002
55,0.0013
56,0.0015
57,0.0016
58,0.0029
59,0.0027
60,0.002
61,0.0021
62,0.0021
63,0.0017
64,0.0019
65,0.0033
66,0.0021
67,0.0017
68,0.0018
69,0.0019
70,0.0029
71,0.0022
72,0.0023
73,0.0036
74,0.0027
75,0.0021
76,0.0036
77,0.0017
78,0.0047
79,0.0024
80,0.0028
81,0.0032
82,0.004
83,0.004
84,0.0028
85,0.0038
86,0.01
87,0.0031
88,0.0047
89,0.0086
90,0.0056
91,0.0066
92,0.0041
93,0.0057
94,0.0038
95,0.0026
96,0.0035
97,0.003
98,0.0077
99,0.01
100,0.0037
101,0.0031
102,0.0065
103,0.007
104,0.0042
105,0.0031
106,0.003
107,0.0029
108,0.0041
109,0.0071
110,0.0044
111,0.0059
112,0.0071
113,0.0048
114,0.0088
115,0.0087
116,0.006
117,0.0038
118,0.0038
119,0.023
120,0.0053
121,0.0058
122,0.014
123,0.0067
124,0.0049
125,0.0096
126,0.008
127,0.0052
128,0.0047
129,0.0047
130,0.011
131,0.0059
132,0.005
133,0.0085
134,0.0048
135,0.011
136,0.016
137,0.019
138,0.0085
139,0.015
140,0.011
141,0.022
142,0.015
143,0.0049
144,0.0079
145,0.01
146,0.011
147,0.0069
148,0.014
149,0.0064
150,0.0075
151,0.0075
152,0.018
153,0.0076
154,0.011
155,0.0074
156,0.0098
157,0.019
158,0.011
159,0.0063
160,0.013
161,0.058
162,0.024
163,0.015
164,0.008
165,0.011
166,0.0078
167,0.012
168,0.011
169,0.0093
170,0.0091
171,0.021
172,0.022
173,0.009
174,0.012
175,0.013
176,0.016
177,0.014
178,0.014
179,0.012
180,0.016
181,0.017
182,0.0068
183,0.012
184,0.017
185,0.012
186,0.011
187,0.012
188,0.012
189,0.04
190,0.02
191,0.018
192,0.036
193,0.0087
194,0.026
195,0.014
196,0.014
197,0.015
198,0.011
199,0.02
